"Calendar year","Age group","RoadUser_Group","Sum(Hospitalisations)"
2019,"40-64","Car passenger",979
2019,"40-64","Motorcyclist",3278
2019,"40-64","Other",906
2019,"40-64","Pedal cyclist",2995
2019,"40-64","Pedestrian",714
2019,"65-74","Car driver",1226
2019,"65-74","Car passenger",391
2019,"65-74","Motorcyclist",384
2019,"65-74","Other",216
2019,"65-74","Pedal cyclist",565
2019,"65-74","Pedestrian",286
2019,"75+","Car driver",1350
2019,"75+","Car passenger",482
2019,"75+","Motorcyclist",132
2019,"75+","Other",198
2019,"75+","Pedal cyclist",178
2019,"75+","Pedestrian",346
2020,"0-7","Car driver",6
2020,"0-7","Car passenger",292
2020,"0-7","Motorcyclist",32
2020,"0-7","Other",26
2020,"0-7","Pedal cyclist",258
2020,"0-7","Pedestrian",100
2020,"8-16","Car driver",66
2020,"8-16","Car passenger",529
2020,"8-16","Motorcyclist",535
2020,"8-16","Other",87
2020,"8-16","Pedal cyclist",1348
2020,"8-16","Pedestrian",234
2020,"17-25","Car driver",3070
2020,"17-25","Car passenger",1275
2020,"17-25","Motorcyclist",2102
2020,"17-25","Other",423
2020,"17-25","Pedal cyclist",768
2020,"17-25","Pedestrian",333
2020,"26-39","Car driver",3253
2020,"26-39","Car passenger",816
2020,"26-39","Motorcyclist",2501
2020,"26-39","Other",555
2020,"26-39","Pedal cyclist",1681
2020,"26-39","Pedestrian",396
2020,"40-64","Car driver",3716
2020,"40-64","Car passenger",794
2020,"40-64","Motorcyclist",3062
2020,"40-64","Other",872
2020,"40-64","Pedal cyclist",3331
2020,"40-64","Pedestrian",567
2020,"65-74","Car driver",984
2020,"65-74","Car passenger",303
2020,"65-74","Motorcyclist",377
2020,"65-74","Other",188
2020,"65-74","Pedal cyclist",693
2020,"65-74","Pedestrian",234
2020,"75+","Car driver",1122
2020,"75+","Car passenger",335
2020,"75+","Motorcyclist",75
2020,"75+","Other",135
2020,"75+","Pedal cyclist",253
2020,"75+","Pedestrian",239
2021,"0-7","Car driver",9
2021,"0-7","Car passenger",288
2021,"0-7","Motorcyclist",36
2021,"0-7","Other",34
2021,"0-7","Pedal cyclist",217
2021,"0-7","Pedestrian",123
2021,"8-16","Car driver",66
2021,"8-16","Car passenger",603
2021,"8-16","Motorcyclist",575
2021,"8-16","Other",86
2021,"8-16","Pedal cyclist",1250
2021,"8-16","Pedestrian",283
2021,"17-25","Car driver",3272
2021,"17-25","Car passenger",1203
2021,"17-25","Motorcyclist",2020
2021,"17-25","Other",450
2021,"17-25","Pedal cyclist",727
2021,"17-25","Pedestrian",338
2021,"26-39","Car driver",3571
2021,"26-39","Car passenger",813
2021,"26-39","Motorcyclist",2479
2021,"26-39","Other",568
2021,"26-39","Pedal cyclist",1542
2021,"26-39","Pedestrian",450
2021,"40-64","Car driver",4036
2021,"40-64","Car passenger",924
2021,"40-64","Motorcyclist",3259
2021,"40-64","Other",792
2021,"40-64","Pedal cyclist",3393
2021,"40-64","Pedestrian",622
2021,"65-74","Car driver",1119
2021,"65-74","Car passenger",287
2021,"65-74","Motorcyclist",402
2021,"65-74","Other",221
2021,"65-74","Pedal cyclist",749
2021,"65-74","Pedestrian",240
2021,"75+","Car driver",1254
2021,"75+","Car passenger",377
2021,"75+","Motorcyclist",112
2021,"75+","Other",152
2021,"75+","Pedal cyclist",285
2021,"75+","Pedestrian",278
