"Calendar year","RoadUser_Group","Counterparty_Group","Sum(Hospitalisations)"
2015,"Car driver","Heavy transport / bus",547
2015,"Car driver","Motorcycle",21
2015,"Car driver","Non-collision / solo",1822
2015,"Car driver","Other / unspecified",157
2015,"Car driver","Pedal cycle",4
2015,"Car driver","Pedestrian / animal",86
2015,"Car passenger","Car / van",2560
2015,"Car passenger","Fixed object",1034
2015,"Car passenger","Heavy transport / bus",197
2015,"Car passenger","Motorcycle",6
2015,"Car passenger","Non-collision / solo",1030
2015,"Car passenger","Other / unspecified",89
2015,"Car passenger","Pedestrian / animal",42
2015,"Motorcyclist","Car / van",2131
2015,"Motorcyclist","Fixed object",751
2015,"Motorcyclist","Heavy transport / bus",88
2015,"Motorcyclist","Motorcycle",175
2015,"Motorcyclist","Non-collision / solo",3412
2015,"Motorcyclist","Other / unspecified",1546
2015,"Motorcyclist","Pedal cycle",7
2015,"Motorcyclist","Pedestrian / animal",188
2015,"Other","Car / van",312
2015,"Other","Fixed object",173
2015,"Other","Heavy transport / bus",101
2015,"Other","Motorcycle",1
2015,"Other","Non-collision / solo",602
2015,"Other","Other / unspecified",1117
2015,"Other","Pedal cycle",1
2015,"Other","Pedestrian / animal",13
2015,"Pedal cyclist","Car / van",1455
2015,"Pedal cyclist","Fixed object",350
2015,"Pedal cyclist","Heavy transport / bus",47
2015,"Pedal cyclist","Motorcycle",15
2015,"Pedal cyclist","Non-collision / solo",3004
2015,"Pedal cyclist","Other / unspecified",1421
2015,"Pedal cyclist","Pedal cycle",354
2015,"Pedal cyclist","Pedestrian / animal",70
2015,"Pedestrian","Car / van",2330
2015,"Pedestrian","Heavy transport / bus",94
2015,"Pedestrian","Motorcycle",49
2015,"Pedestrian","Other / unspecified",95
2015,"Pedestrian","Pedal cycle",52
2015,"Pedestrian","Pedestrian / animal",7
2016,"Car driver","Car / van",7366
2016,"Car driver","Fixed object",3227
2016,"Car driver","Heavy transport / bus",541
2016,"Car driver","Motorcycle",32
2016,"Car driver","Non-collision / solo",1750
2016,"Car driver","Other / unspecified",183
2016,"Car driver","Pedal cycle",4
2016,"Car driver","Pedestrian / animal",91
2016,"Car passenger","Car / van",2667
2016,"Car passenger","Fixed object",1021
2016,"Car passenger","Heavy transport / bus",215
2016,"Car passenger","Motorcycle",9
2016,"Car passenger","Non-collision / solo",1039
2016,"Car passenger","Other / unspecified",97
2016,"Car passenger","Pedestrian / animal",55
2016,"Motorcyclist","Car / van",2302
2016,"Motorcyclist","Fixed object",785
2016,"Motorcyclist","Heavy transport / bus",81
2016,"Motorcyclist","Motorcycle",170
2016,"Motorcyclist","Non-collision / solo",3442
2016,"Motorcyclist","Other / unspecified",1568
2016,"Motorcyclist","Pedal cycle",9
2016,"Motorcyclist","Pedestrian / animal",169
2016,"Other","Car / van",327
2016,"Other","Fixed object",159
2016,"Other","Heavy transport / bus",106
2016,"Other","Motorcycle",3
2016,"Other","Non-collision / solo",627
2016,"Other","Other / unspecified",1261
2016,"Other","Pedestrian / animal",10
2016,"Pedal cyclist","Car / van",1482
2016,"Pedal cyclist","Fixed object",415
2016,"Pedal cyclist","Heavy transport / bus",76
2016,"Pedal cyclist","Motorcycle",13
2016,"Pedal cyclist","Non-collision / solo",3053
2016,"Pedal cyclist","Other / unspecified",1447
2016,"Pedal cyclist","Pedal cycle",335
2016,"Pedal cyclist","Pedestrian / animal",83
2016,"Pedestrian","Car / van",2407
2016,"Pedestrian","Heavy transport / bus",119
2016,"Pedestrian","Motorcycle",61
2016,"Pedestrian","Other / unspecified",91
2016,"Pedestrian","Pedal cycle",53
2016,"Pedestrian","Pedestrian / animal",12
2017,"Car driver","Car / van",7473
2017,"Car driver","Fixed object",3061
2017,"Car driver","Heavy transport / bus",595
2017,"Car driver","Motorcycle",21
2017,"Car driver","Non-collision / solo",1826
2017,"Car driver","Other / unspecified",190
2017,"Car driver","Pedal cycle",5
2017,"Car driver","Pedestrian / animal",96
2017,"Car passenger","Car / van",2766
2017,"Car passenger","Fixed object",1005
2017,"Car passenger","Heavy transport / bus",191
2017,"Car passenger","Motorcycle",5
2017,"Car passenger","Non-collision / solo",998
2017,"Car passenger","Other / unspecified",89
2017,"Car passenger","Pedal cycle",1
2017,"Car passenger","Pedestrian / animal",47
2017,"Motorcyclist","Car / van",2371
2017,"Motorcyclist","Fixed object",814
2017,"Motorcyclist","Heavy transport / bus",109
2017,"Motorcyclist","Motorcycle",169
2017,"Motorcyclist","Non-collision / solo",3579
2017,"Motorcyclist","Other / unspecified",1464
2017,"Motorcyclist","Pedal cycle",19
2017,"Motorcyclist","Pedestrian / animal",214
2017,"Other","Car / van",362
2017,"Other","Fixed object",152
2017,"Other","Heavy transport / bus",121
2017,"Other","Motorcycle",1
2017,"Other","Non-collision / solo",592
2017,"Other","Other / unspecified",1199
2017,"Other","Pedestrian / animal",14
2017,"Pedal cyclist","Car / van",1603
2017,"Pedal cyclist","Fixed object",419
2017,"Pedal cyclist","Heavy transport / bus",62
2017,"Pedal cyclist","Motorcycle",14
2017,"Pedal cyclist","Non-collision / solo",3094
2017,"Pedal cyclist","Other / unspecified",1446
2017,"Pedal cyclist","Pedal cycle",354
2017,"Pedal cyclist","Pedestrian / animal",84
2017,"Pedestrian","Car / van",2391
2017,"Pedestrian","Heavy transport / bus",105
2017,"Pedestrian","Motorcycle",45
2017,"Pedestrian","Other / unspecified",106
2017,"Pedestrian","Pedal cycle",53
2017,"Pedestrian","Pedestrian / animal",14
2018,"Car driver","Car / van",7572
2018,"Car driver","Fixed object",3134
2018,"Car driver","Heavy transport / bus",572
2018,"Car driver","Motorcycle",19
2018,"Car driver","Non-collision / solo",1960
2018,"Car driver","Other / unspecified",208
2018,"Car driver","Pedal cycle",6
2018,"Car driver","Pedestrian / animal",124
2018,"Car passenger","Car / van",2733
2018,"Car passenger","Fixed object",1032
2018,"Car passenger","Heavy transport / bus",178
2018,"Car passenger","Motorcycle",4
2018,"Car passenger","Non-collision / solo",1125
2018,"Car passenger","Other / unspecified",84
2018,"Car passenger","Pedal cycle",1
2018,"Car passenger","Pedestrian / animal",49
2018,"Motorcyclist","Car / van",2322
2018,"Motorcyclist","Fixed object",821
2018,"Motorcyclist","Heavy transport / bus",89
2018,"Motorcyclist","Motorcycle",142
2018,"Motorcyclist","Non-collision / solo",3586
2018,"Motorcyclist","Other / unspecified",1421
2018,"Motorcyclist","Pedal cycle",11
2018,"Motorcyclist","Pedestrian / animal",231
2018,"Other","Car / van",337
2018,"Other","Fixed object",169
2018,"Other","Heavy transport / bus",118
2018,"Other","Motorcycle",2
2018,"Other","Non-collision / solo",621
2018,"Other","Other / unspecified",1290
2018,"Other","Pedestrian / animal",9
2018,"Pedal cyclist","Car / van",1494
2018,"Pedal cyclist","Fixed object",402
2018,"Pedal cyclist","Heavy transport / bus",58
2018,"Pedal cyclist","Motorcycle",13
2018,"Pedal cyclist","Non-collision / solo",3076
2018,"Pedal cyclist","Other / unspecified",1498
2018,"Pedal cyclist","Pedal cycle",343
2018,"Pedal cyclist","Pedestrian / animal",75
2018,"Pedestrian","Car / van",2347
2018,"Pedestrian","Heavy transport / bus",97
2018,"Pedestrian","Motorcycle",56
2018,"Pedestrian","Other / unspecified",93
2018,"Pedestrian","Pedal cycle",55
2018,"Pedestrian","Pedestrian / animal",13
2019,"Car driver","Car / van",7697
2019,"Car driver","Fixed object",3052
2019,"Car driver","Heavy transport / bus",527
2019,"Car driver","Motorcycle",21
2019,"Car driver","Non-collision / solo",1868
